day,date,customer,operation_type,static_loader,overtime_tonnage,Service,Price,total_price
Thu,2023-11-02,IOT,Bin Dispatch to IOT,54.16,0.0,Static Loader,23.5,1272.76
Wed,2023-11-08,IOT,Bin Dispatch to IOT,56.537,0.0,Static Loader,23.5,1328.6195
Fri,2023-11-10,IOT,Bin Dispatch to IOT,16.889,0.0,Static Loader,23.5,396.8915
Thu,2023-11-16,IOT,Bin Dispatch to IOT,23.206,0.0,Static Loader,23.5,545.341
Sun,2023-11-26,IOT,Bin Dispatch to IOT,114.087,0.0,Static Loader,23.5,4021.56675
Fri,2023-12-01,IOT,Bin Dispatch to IOT,62.692,0.0,Static Loader,23.5,1473.262
Mon,2023-12-04,IOT,Bin Dispatch to IOT,91.064,0.0,Static Loader,23.5,2140.004
Tue,2023-12-05,IOT,Bin Dispatch to IOT,98.502,0.0,Static Loader,23.5,2314.797
Mon,2024-01-08,IOT,Bin Dispatch to IOT,102.754,0.0,Static Loader,23.5,2414.719
Thu,2024-01-11,IOT,Bin Dispatch to IOT,37.168,0.0,Static Loader,23.5,873.448
Mon,2024-01-15,IOT,Bin Dispatch to IOT,61.529,0.0,Static Loader,23.5,1445.9315000000001
Tue,2024-01-16,IOT,Bin Dispatch to IOT,54.862,0.0,Static Loader,23.5,1289.257
Wed,2024-01-17,IOT,Bin Dispatch to IOT,24.429,0.0,Static Loader,23.5,574.0815
Thu,2024-01-18,IOT,Bin Dispatch to IOT,51.527,20.55,Static Loader,23.5,1452.3470000000002
Mon,2024-01-22,IOT,Bin Dispatch to IOT,81.798,0.0,Static Loader,23.5,1922.2530000000002
Tue,2024-01-23,IOT,Bin Dispatch to IOT,57.116,0.0,Static Loader,23.5,1342.2259999999999
Wed,2024-01-24,IOT,Bin Dispatch to IOT,43.101,0.0,Static Loader,23.5,1012.8734999999999
Thu,2024-01-25,IOT,Bin Dispatch to IOT,24.287,0.0,Static Loader,23.5,570.7445
Mon,2024-01-29,IOT,Bin Dispatch to IOT,37.634,10.016,Static Loader,23.5,1002.087
Wed,2024-01-31,IOT,Bin Dispatch to IOT,76.723,0.0,Static Loader,23.5,1802.9904999999999
Thu,2024-02-01,IOT,Bin Dispatch to IOT,40.524,0.0,Static Loader,23.5,952.3140000000001
Mon,2024-02-05,IOT,Bin Dispatch to IOT,85.3,0.0,Static Loader,23.5,2004.55
Tue,2024-02-06,IOT,Bin Dispatch to IOT,97.332,0.0,Static Loader,23.5,2287.3019999999997
Wed,2024-02-07,IOT,Bin Dispatch to IOT,115.561,0.0,Static Loader,23.5,2715.6835
Thu,2024-02-08,IOT,Bin Dispatch to IOT,95.197,0.0,Static Loader,23.5,2237.1295
Mon,2024-02-12,IOT,Bin Dispatch to IOT,91.444,0.0,Static Loader,23.5,2148.934
Tue,2024-02-13,IOT,Bin Dispatch to IOT,52.101,0.0,Static Loader,23.5,1224.3735
Wed,2024-02-14,IOT,Bin Dispatch to IOT,36.559,0.0,Static Loader,23.5,859.1365
Thu,2024-02-15,IOT,Bin Dispatch to IOT,79.331,0.0,Static Loader,23.5,1864.2785000000001
Fri,2024-02-16,IOT,Bin Dispatch to IOT,57.598,0.0,Static Loader,23.5,1353.5529999999999
